Row Labels,Sum of inst_num,Sum of time,Sum of plan_cpu,Average of plan_cpu,Sum of plan_mem,Average of plan_mem
J13_5_6_7_12,1114,237,150,75,0.84,0.42
J13_5_6_8_10_12,1,92,50,50,0.2,0.2
J13_5_7_10_11_12,11,54,100,100,0.64,0.64
J13_5_7_9_11_12,381,1423,50,50,0.59,0.59
J13_6_12,110,861,400,80,2.36,0.472
J13_6_7_12,143,216,50,50,0.39,0.39
J13_6_7_8_12,182,988,550,68.75,3.63,0.45375
J13_6_7_8_9_10_11_12,31,34,100,100,0.59,0.59
J13_6_8_10_12,2,335,100,50,0.4,0.2
J13_6_8_11_12,27,120,50,50,0.39,0.39
J13_6_9_10,123,86,100,100,0.59,0.59
J13_7_12,494,185,700,70,3.66,0.366
J13_7_16_24,2,323,150,75,0.79,0.395
J13_7_8_12,147,361,50,50,0.39,0.39
J13_7_8_9,1,315,50,50,0.2,0.2
J13_7_8_9_10_11_12,57,3,100,100,0.59,0.59
J13_7_9_12,1853,81,500,100,2.95,0.59
J13_8_10_11_12,1111,56,100,100,0.59,0.59
J13_8_10_12,1,3,50,50,0.2,0.2
J13_8_11_12,1,125,50,50,0.2,0.2
J13_8_12,824,861,250,62.5,1.57,0.3925
J13_8_9_12,133,58,100,100,0.49,0.49
J13_9_10_11_12,20,25,200,100,1.23,0.615
J13_9_10_12,1546,139,350,87.5,2.16,0.54
J13_9_11_12,3,46,100,100,0.59,0.59
J13_9_12,587,1004,450,90,2.85,0.57
J13_9_16_23,578,16,200,100,1.18,0.59
J14_1,13,168,50,50,0.3,0.3
J14_1_11_13,9,25,100,100,0.59,0.59
J14_1_13,798,2124,900,81.81818182,5.1,0.463636364
J14_1_2,13,80,100,100,0.49,0.49
J14_1_2_13,1116,168,150,75,0.69,0.345
J14_1_2_3_4_13,19,164,50,50,0.39,0.39
J14_1_2_3_4_5_6_12_13,6,27,100,100,0.59,0.59
J14_1_2_3_4_5_6_7_8_13,298,87,200,100,0.98,0.49
J14_1_2_3_4_5_6_7_8_9_10_11_12_13,199,49,100,100,0.49,0.49
J14_1_2_3_4_6_7_8_9_11_12_13,20,213,150,75,0.69,0.345
J14_1_2_4_5_8_12_13,1,33,50,50,0.2,0.2
J14_1_3_4_13,194,2074,550,68.75,3.12,0.39
J14_1_3_4_7_9_10_12_13,271,614,50,50,0.59,0.59
J14_1_3_5_6_13,1111,72,100,100,0.49,0.49
J14_1_4_13,14,493,700,50,2.8,0.2
J14_1_4_5_8_10_13,1,740,50,50,0.2,0.2
J14_1_4_6_8_12_13,53,26,100,100,0.59,0.59
J14_1_5_6_7_8_9_10_13,11,6,100,100,0.49,0.49
J14_1_6_13,57,45,300,100,1.77,0.59
J14_10_11_12_13,5,4,100,100,0.59,0.59
J14_10_12_13,150,90,200,100,1.18,0.59
J14_10_13,44,604,400,66.66666667,2.27,0.378333333
J14_11_12_13,458,966,550,68.75,2.96,0.37
J14_11_13,418,2274,700,70,4.42,0.442
J14_12_13,1372,3712,1650,78.57142857,9.93,0.472857143
J14_13,43,203,450,75,2.27,0.378333333
J14_13_18,1,498,50,50,0.2,0.2
J14_13_22,1263,463,700,100,4.13,0.59
J14_13_22_25,2,534,100,50,0.6,0.3
J14_2_13,374,2932,700,58.33333333,3.62,0.301666667
J14_2_3_13,25,111,100,100,0.59,0.59
J14_2_5_7_13,1,2263,50,50,0.3,0.3
J14_2_5_8_12_13,99,7,100,100,0.49,0.49
J14_2_6_9_11_13,17,77,100,100,0.59,0.59
J14_2_7_8_9_11_13,339,439,300,100,1.77,0.59
J14_2_9_11_13,2,100,100,50,0.4,0.2
J14_2_9_12_13,213,16,100,100,0.59,0.59
J14_3_10_12_13,259,21,100,100,0.59,0.59
J14_3_13,519,4626,300,75,2.02,0.505
J14_3_4_13,264,209,300,75,1.77,0.4425
J14_3_5_7_9_11_12_13,1,673,50,50,0.2,0.2
J14_3_6_10_13,7,6,100,100,0.59,0.59
J14_3_6_13,13,59,50,50,0.39,0.39
J14_4_13,689,339,400,80,2.36,0.472
J14_4_5_6_13,77,5,100,100,0.59,0.59
J14_4_5_6_7_13,4444,35,400,100,1.96,0.49
J14_4_6,87,511,50,50,0.39,0.39
J14_4_7_10_13,249,59,100,100,0.59,0.59
J14_4_7_8_13,1,179,50,50,0.2,0.2
J14_5_10_11_13,129,18,100,100,0.59,0.59
J14_5_11_13,54,81,600,100,3.54,0.59
J14_5_12_13,107,52,100,100,0.59,0.59
J14_5_13,682,557,750,93.75,4.33,0.54125
J14_5_7_10_12_13,11,42,100,100,0.59,0.59
J14_5_7_8_13,559,150,250,83.33333333,1.57,0.523333333
J14_5_8_9_10_13,418,1009,50,50,0.39,0.39
J14_6_12_13,26,3192,400,57.14285714,2.75,0.392857143
J14_6_13,89,80,250,83.33333333,1.38,0.46
J14_6_7_13,17,6,100,100,0.59,0.59
J14_6_7_8_13,1,29,100,100,0.59,0.59
J14_6_7_9_10_13,3,43,50,50,0.3,0.3
J14_6_7_9_11_12_13,7,21,100,100,0.64,0.64
J14_6_8_10_11_13,3,184,50,50,0.39,0.39
J14_6_8_13,3,282,50,50,0.2,0.2
J14_7_13,299,1869,1300,86.66666667,7.86,0.524
J14_7_8_9_10_11_12_13,1111,119,100,100,0.59,0.59
J14_7_9_11_13,1,841,50,50,0.2,0.2
J14_8_10_13,171,12,100,100,0.59,0.59
J14_8_11_12_13,1,9,50,50,0.2,0.2
J14_8_11_13,67,57,650,92.85714286,3.74,0.534285714
J14_8_12_13,13,20,100,100,0.59,0.59
J14_8_13,7,29,100,100,0.59,0.59
